epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,444.707,0.96969,0.66181,1.18519,0.85961,0.9132,0.92604,0.62481,1.09859,0.68225,1.33748,0.000848969,0.000848969,0.000848969
43,454.852,0.95844,0.64893,1.15787,0.87366,0.89104,0.92525,0.61658,1.12699,0.69194,1.35706,0.000834822,0.000834822,0.000834822
44,467.056,0.95935,0.66048,1.16716,0.83364,0.9163,0.92207,0.63557,1.10359,0.68956,1.34799,0.000820675,0.000820675,0.000820675
45,478.906,0.93682,0.62627,1.15783,0.85094,0.89581,0.92445,0.62603,1.09283,0.6978,1.34068,0.000806528,0.000806528,0.000806528
46,489.663,0.92977,0.62031,1.13598,0.86954,0.88673,0.91279,0.62179,1.09904,0.68756,1.33956,0.00079238,0.00079238,0.00079238
47,500.231,0.94448,0.63997,1.17256,0.86931,0.88673,0.92548,0.62893,1.08718,0.68608,1.32607,0.000778233,0.000778233,0.000778233
48,510.706,0.91977,0.6253,1.13592,0.85825,0.90205,0.91953,0.62781,1.08376,0.67605,1.33537,0.000764086,0.000764086,0.000764086
49,520.578,0.92937,0.63055,1.15004,0.83815,0.90448,0.91378,0.6187,1.10777,0.7253,1.35234,0.000749939,0.000749939,0.000749939
50,531.036,0.93963,0.6208,1.15297,0.84636,0.90244,0.91573,0.62727,1.09596,0.68526,1.33713,0.000735792,0.000735792,0.000735792
51,541.588,0.93154,0.61474,1.15743,0.8621,0.90069,0.91114,0.6282,1.09946,0.72834,1.35066,0.000721645,0.000721645,0.000721645
52,551.894,0.92984,0.59274,1.13498,0.82527,0.91099,0.90627,0.61659,1.09722,0.73225,1.33947,0.000707498,0.000707498,0.000707498
53,561.769,0.9254,0.60596,1.16194,0.85979,0.8781,0.91272,0.614,1.12366,0.75971,1.36039,0.000693351,0.000693351,0.000693351
54,572.574,0.91566,0.61902,1.14943,0.83082,0.89574,0.90526,0.62097,1.09954,0.7131,1.35038,0.000679204,0.000679204,0.000679204
55,583.943,0.89974,0.5754,1.1171,0.85602,0.88377,0.89984,0.61285,1.12407,0.73243,1.36269,0.000665057,0.000665057,0.000665057
56,594.572,0.91087,0.58285,1.1442,0.8509,0.90583,0.91964,0.62797,1.09949,0.70173,1.35385,0.000650909,0.000650909,0.000650909
